Country,Subregion,Region,UN R,UN P,CIA R,CIA P4,World Bank Gini %,Year,,,,,,,,,
 Iraq,Western Asia,Asia,,4.4,,,29.5,2012,,,,,,,,,
 Ireland,Northern Europe,Europe,9.4,5,9.4,2000,30.1,2021,,,,,,,,,
 Israel,Western Asia,Asia,13.4,8.5,11.8,2005,37.9,2021,,,,,,,,,
 Italy,Southern Europe,Europe,11.6,7,11.7,2000,34.8,2021,,,,,,,,,
 Jamaica,Caribbean,Americas,17.3,,17,2004,40.2,2021,,,,,,,,,
 Japan,Eastern Asia,Asia,4.5,5.4,4.5,1993,32.9,2013,,,,,,,,,
 Jordan,Western Asia,Asia,11.3,5.2,11.3,2003,33.7,2010,,,,,,,,,
 Kazakhstan,Central Asia,Asia,8.5,3.8,8,2004,29.2,2021,,,,,,,,,
 Kenya,Eastern Africa,Africa,13.6,7.7,18.6,2000,38.7,2021,,,,,,,,,
 South Korea,Eastern Asia,Asia,7.8,5.3,5.9,2011,31.4,2016,,,,,,,,,
 Kosovo,Eastern Europe,Europe,,,,,29,2017,,,,,,,,,
 Kyrgyzstan,Central Asia,Asia,6.4,3.8,6.4,2003,28.8,2021,,,,,,,,,
 Laos,South-eastern Asia,Asia,8.3,5.9,8.4,2002,38.8,2018,,,,,,,,,
 Latvia,Northern Europe,Europe,11.6,5.8,11.6,2003,34.3,2021,,,,,,,,,
 Lebanon,Western Asia,Asia,,5.1,,,31.8,2011,,,,,,,,,
 Lesotho,Southern Africa,Africa,39.8,20.8,48.2,2002,44.9,2017,,,,,,,,,
 Liberia,Western Africa,Africa,12.8,5.9,,,35.3,2016,,,,,,,,,
 Lithuania,Northern Europe,Europe,10.4,7.2,10.3,2003,36.7,2021,,,,,,,,,
 Luxembourg,Western Europe,Europe,,5.7,6.8,2000,32.7,2021,,,,,,,,,
 Macau,Eastern Asia,Asia,,,,,36,2018,,,,,,,,,
 North Macedonia,Southern Europe,Europe,12.5,7.3,12.3,2003,33.5,2019,,,,,,,,,
 Madagascar,Eastern Africa,Africa,19.2,8.7,19.3,2001,42.6,2012,,,,,,,,,
 Malawi,Eastern Africa,Africa,10.9,8.1,11,2004,38.5,2019,,,,,,,,,
 Malaysia,South-eastern Asia,Asia,22.1,8.2,28,2003,40.7,2021,,,,,,,,,
 Maldives,Southern Asia,Asia,,7,,,29.3,2019,,,,,,,,,
 Mali,Western Africa,Africa,12.5,5.2,12.6,2001,35.7,2021,,,,,,,,,
 Malta,Southern Europe,Europe,,4.5,,,31.4,2020,,,,,,,,,
